Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"mother tongue, maternal language, first language",https://en-word.net/id/oewn-06917524-n,,one's native language; the language learned by children and passed from one generation to the next,,None,FALSE,
"tone language, tonal language",https://en-word.net/id/oewn-06917719-n,,a language in which different tones distinguish different meanings,,None,FALSE,
contour language,https://en-word.net/id/oewn-06917917-n,,a tone language that uses pitch changes,,None,FALSE,
register language,https://en-word.net/id/oewn-06918019-n,,a tone language that uses different voice registers,,None,FALSE,
creole,https://en-word.net/id/oewn-06918134-n,,a mother tongue that originates from contact between two languages,,None,FALSE,
"Haitian Creole, Haitian Creole language",https://en-word.net/id/oewn-06918289-n,https://www.wikidata.org/entity/Q33491,a creole language spoken by most Haitians; based on French and various African languages,language spoken in Haiti,Exact,TRUE,
"Amerind, Amerindian language, American-Indian language, American Indian, Indian, American Indian language, Indian language, Amerind language",https://en-word.net/id/oewn-06919215-n,,any of the languages spoken by Amerindians,,None,FALSE,https://www.wikidata.org/wiki/Q51739
"Algonquian, Algonquin, Algonquian language",https://en-word.net/id/oewn-06919747-n,https://www.wikidata.org/entity/Q33392,family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains,subfamily of Native American languages,Multiple,TRUE,
"Algonquian, Algonquin, Algonquian language",https://en-word.net/id/oewn-06919747-n,https://www.wikidata.org/entity/Q28092,family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains,distinct Algonquian language closely related to the Ojibwe language or a particularly divergent Ojibwe dialect,Multiple,FALSE,
"Abnaki, Abnaki language",https://en-word.net/id/oewn-06920824-n,https://www.wikidata.org/entity/Q197936,the Algonquian language spoken by the Abnaki and Penobscot,Algonquian language,Exact,TRUE,
"Algonkian, Algonkin, Algonkian language, Algonkin language",https://en-word.net/id/oewn-06920935-n,https://www.wikidata.org/entity/Q28092,the Algonquian language spoken by the Algonkian,distinct Algonquian language closely related to the Ojibwe language or a particularly divergent Ojibwe dialect,Multiple,TRUE,
"Algonkian, Algonkin, Algonkian language, Algonkin language",https://en-word.net/id/oewn-06920935-n,https://www.wikidata.org/entity/Q33392,the Algonquian language spoken by the Algonkian,subfamily of Native American languages,Multiple,FALSE,
"Arapaho, Arapahoe, Arapaho language, Arapahoe language",https://en-word.net/id/oewn-06921067-n,https://www.wikidata.org/entity/Q56417,the Algonquian language spoken by the Arapaho,"language of the Algonquian family, spoken in the United States",Exact,FALSE,
"Blackfoot, Blackfoot language",https://en-word.net/id/oewn-06921270-n,https://www.wikidata.org/entity/Q33060,any of the Algonquian languages spoken by the Blackfoot,indigenous langauge of the northwestern Great Plains of North America,Exact,TRUE,
"Cheyenne, Cheyenne language",https://en-word.net/id/oewn-06921476-n,https://www.wikidata.org/entity/Q33265,the Algonquian language spoken by the Cheyenne,indigenous language of the United States,Multiple,TRUE,
"Cheyenne, Cheyenne language",https://en-word.net/id/oewn-06921476-n,https://www.wikidata.org/entity/Q17137878,the Algonquian language spoken by the Cheyenne,small language group within the Algonquian family,Multiple,FALSE,
"Cree, Cree language",https://en-word.net/id/oewn-06922074-n,https://www.wikidata.org/entity/Q33390,the Algonquian language spoken by the Cree,aboriginal language continuum spoken in Canada,Multiple,FALSE,
"Cree, Cree language",https://en-word.net/id/oewn-06922074-n,https://www.wikidata.org/entity/Q56696,the Algonquian language spoken by the Cree,Algonquian language of Canada,Multiple,TRUE,
"Delaware, Delaware language",https://en-word.net/id/oewn-06922347-n,https://www.wikidata.org/entity/Q2665761,the Algonquian language spoken by the Delaware,Native American languages centered around the Delaware River,Exact,TRUE,
"Fox, Fox language",https://en-word.net/id/oewn-06922624-n,https://www.wikidata.org/entity/Q1440172,the Algonquian language of the Fox,Algonquian language spoken in US Midwest and northern Mexico,Exact,TRUE,
"Illinois, Illinois language",https://en-word.net/id/oewn-06922910-n,https://www.wikidata.org/entity/Q56523,the Algonquian language of the Illinois and Miami,language,Exact,TRUE,
"Kickapoo, Kickapoo language",https://en-word.net/id/oewn-06923199-n,https://www.wikidata.org/entity/Q20162127,the Algonquian language of the Kickapoo,language,Exact,TRUE,
"Malecite, Maleseet, Malecite language, Maleseet language",https://en-word.net/id/oewn-06923293-n,,the Algonquian language of the Malecite and Passamaquody,,None,FALSE,https://www.wikidata.org/wiki/Q3183144
"Massachuset, Massachusetts, Massachusetts language, Massachuset language",https://en-word.net/id/oewn-06923415-n,,the Algonquian language of the Massachuset,,None,FALSE,https://www.wikidata.org/wiki/Q56519
"Menomini, Menominee, Menominee language, Menomini language",https://en-word.net/id/oewn-06923531-n,https://www.wikidata.org/entity/Q13363,the Algonquian language spoken by the Menomini,Algonquian language,Exact,TRUE,
"Micmac, Micmac language",https://en-word.net/id/oewn-06923644-n,https://www.wikidata.org/entity/Q13321,the Algonquian language of the Micmac,"Eastern Algonquian language spoken by nearly 11,000 Mi'kmaq in Canada and the United States",Exact,TRUE,
"Mohican, Mahican, Mohican language, Mahican language",https://en-word.net/id/oewn-06923734-n,https://www.wikidata.org/entity/Q3182562,the Algonquian language spoken by the Mohican,language,Exact,TRUE,
"Nanticoke, Nanticoke language",https://en-word.net/id/oewn-06923843-n,https://www.wikidata.org/entity/Q3915517,the Algonquian language spoken by the Nanticoke and Conoy,Extinct indigenous language of the eastern United States,Exact,TRUE,
"Ojibwa, Ojibway, Chippewa, Ojibway language, Ojibwa language, Chippewa language",https://en-word.net/id/oewn-06924142-n,https://www.wikidata.org/entity/Q2963878,the Algonquian language spoken by the Ojibwa,Algonquian language; southwestern variety of Ojibwe,Multiple,FALSE,
"Ojibwa, Ojibway, Chippewa, Ojibway language, Ojibwa language, Chippewa language",https://en-word.net/id/oewn-06924142-n,https://www.wikidata.org/entity/Q33875,the Algonquian language spoken by the Ojibwa,Central Algonquian language,Multiple,TRUE,
"Pamlico, Pamlico language",https://en-word.net/id/oewn-06924442-n,https://www.wikidata.org/entity/Q111366045,the Algonquian language of the Pamlico,,Exact,TRUE,
"Potawatomi, Potawatomi language",https://en-word.net/id/oewn-06924633-n,https://www.wikidata.org/entity/Q56749,the Algonquian language spoken by the Potawatomi,Algonquian language,Exact,TRUE,
"Powhatan, Powhatan language",https://en-word.net/id/oewn-06924738-n,https://www.wikidata.org/entity/Q2270532,the Algonquian language of the Powhatan,extinct Eastern Algonquian language,Exact,TRUE,
"Shawnee, Shawnee language",https://en-word.net/id/oewn-06924925-n,https://www.wikidata.org/entity/Q2669206,the Algonquian language spoken by the Shawnee,language of the Shawnee tribe,Exact,TRUE,
"Atakapa, Atakapan, Attacapa, Attacapan, Atakapan language, Attacapa language, Atakapa language, Attacapan language",https://en-word.net/id/oewn-06920343-n,,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas,,None,FALSE,https://www.wikidata.org/wiki/Q10975683
"Athapaskan, Athapascan, Athabaskan, Athabascan, Athapaskan language",https://en-word.net/id/oewn-06920504-n,https://www.wikidata.org/entity/Q27475,"a group of Amerindian languages (the name coined by an American anthropologist, Edward Sapir)",large group of indigenous languages of North America,Exact,TRUE,
"Apache, Apache language",https://en-word.net/id/oewn-06932210-n,https://www.wikidata.org/entity/Q27758,the language of the Apache,subfamily of Athabaskan languages,Exact,TRUE,
"Chiricahua Apache, Chiricahua Apache language",https://en-word.net/id/oewn-06932325-n,,"an Apache language, spoken in New Mexico, Mescalero Reservation, and by some Chiricahua at Fort Sill, Oklahoma",,None,FALSE,https://www.wikidata.org/wiki/Q13368
"San Carlos Apache, San Carlos Apache language",https://en-word.net/id/oewn-06932407-n,,"an Apache language, spoken in East central Arizona, on several reservations",,None,FALSE,https://www.wikidata.org/wiki/Q28060
"Navaho, Navajo, Navaho language, Navajo language",https://en-word.net/id/oewn-06932489-n,https://www.wikidata.org/entity/Q13310,the Athapaskan language spoken by the Navaho,Athabaskan language of Na-Dené stock spoken in the southwestern United States,Exact,TRUE,
"Hupa, Hupa language",https://en-word.net/id/oewn-06932595-n,https://www.wikidata.org/entity/Q28058,the Athapaskan language spoken by the Hupa,language,Exact,TRUE,
"Mattole, Mattole language",https://en-word.net/id/oewn-06932688-n,https://www.wikidata.org/entity/Q20824,the Athapaskan language spoken by the Mattole,extinct Athabaskan language,Exact,TRUE,
"Chipewyan, Chippewyan, Chippewaian, Chipewyan language, Chippewaian language, Chippewyan language",https://en-word.net/id/oewn-06932787-n,https://www.wikidata.org/entity/Q27692,the language spoken by the Chipewyan,language spoken by the Chipewyan people of central Canada,Exact,TRUE,
"Muskhogean, Muskhogean language, Muskogean, Muskogean language",https://en-word.net/id/oewn-06926089-n,https://www.wikidata.org/entity/Q902978,a family of North American Indian languages spoken in the southeastern United States,language family,Exact,TRUE,
"Alabama, Alabama language",https://en-word.net/id/oewn-06925024-n,https://www.wikidata.org/entity/Q1815020,the Muskhogean language of the Alabama,language spoken by the Alabama-Coushatta tribe,Exact,TRUE,
"Chickasaw, Chickasaw language",https://en-word.net/id/oewn-06925116-n,https://www.wikidata.org/entity/Q33192,the Muskhogean language of the Chickasaw,Muskogean language from the southeastern US,Exact,TRUE,
"Choctaw, Chahta, Chahta language, Choctaw language",https://en-word.net/id/oewn-06925212-n,https://www.wikidata.org/entity/Q32979,the Muskhogean language of the Choctaw,Muskogean language,Exact,TRUE,
"Hitchiti, Hitchiti language",https://en-word.net/id/oewn-06925313-n,,the Muskhogean language spoken by the Hitchiti,,None,FALSE,https://www.wikidata.org/wiki/Q13316
"Koasati, Koasati language",https://en-word.net/id/oewn-06925414-n,https://www.wikidata.org/entity/Q35162,the Muskhogean language spoken by the Koasati,Native American language spoken in Louisiana,Exact,TRUE,
"Muskogee, Muskogee language",https://en-word.net/id/oewn-06925513-n,,the Muskhogean language spoken by the Muskogee,,None,FALSE,https://www.wikidata.org/wiki/Q523014
"Seminole, Seminole language",https://en-word.net/id/oewn-06925707-n,https://www.wikidata.org/entity/Q47012776,the Muskhogean language of the Seminole,language,Exact,TRUE,
Na-Dene,https://en-word.net/id/oewn-06926411-n,https://www.wikidata.org/entity/Q26986,a family of North American Indian languages,Native American language family,Exact,TRUE,
"Haida, Haida language",https://en-word.net/id/oewn-06923014-n,https://www.wikidata.org/entity/Q33303,the Na-Dene language of the Haida,endangered language spoken in Canada and Alaska,Exact,TRUE,
"Tlingit, Tlingit language",https://en-word.net/id/oewn-06925801-n,https://www.wikidata.org/entity/Q27792,the Na-Dene language spoken by the Tlingit,language of southeast Alaska and western Canada,Exact,TRUE,
Mosan,https://en-word.net/id/oewn-06926544-n,https://www.wikidata.org/entity/Q59899,a family of Amerindian languages spoken in Washington and British Columbia,hypothetical language family,Exact,TRUE,
Chemakuan,https://en-word.net/id/oewn-06926724-n,,a group of Mosan languages spoken in Washington,,None,FALSE,https://www.wikidata.org/wiki/Q1073088
"Chemakum, Chemakum language",https://en-word.net/id/oewn-06926845-n,https://www.wikidata.org/entity/Q56397,a Chemakuan language spoken by the Chemakum,language,Exact,TRUE,
"Salish, Salishan",https://en-word.net/id/oewn-06926943-n,https://www.wikidata.org/entity/Q33985,a family of Mosan language spoken in northwestern United States and western Canada,group of languages spoken in the United States and Canada,Exact,TRUE,
Skagit,https://en-word.net/id/oewn-06927107-n,https://www.wikidata.org/entity/Q25559652,a Salishan dialect spoken by the Skagit,language,Exact,TRUE,
"Wakashan, Wakashan language",https://en-word.net/id/oewn-06927199-n,https://www.wikidata.org/entity/Q60069,a family of North American Indian languages of British Columbia and Washington,language family,Exact,TRUE,
"Kwakiutl, Kwakiutl language",https://en-word.net/id/oewn-06927388-n,https://www.wikidata.org/entity/Q2640628,a Wakashan language spoken by the Kwakiutl,language spoken by the Kwakwakaʼwakw people,Exact,TRUE,
"Nootka, Nootka language",https://en-word.net/id/oewn-06927485-n,,a Wakashan language spoken by the Nootka,,None,FALSE,https://www.wikidata.org/wiki/Q2992876
"Caddo, Caddoan, Caddoan language",https://en-word.net/id/oewn-06928377-n,https://www.wikidata.org/entity/Q1025090,a family of North American Indian languages spoken widely in the Midwest by the Caddo,family of Native American languages,Multiple,TRUE,
"Caddo, Caddoan, Caddoan language",https://en-word.net/id/oewn-06928377-n,https://www.wikidata.org/entity/Q56756,a family of North American Indian languages spoken widely in the Midwest by the Caddo,Native American language,Multiple,FALSE,
"Arikara, Aricara, Aricara language, Arikara language",https://en-word.net/id/oewn-06928597-n,https://www.wikidata.org/entity/Q56539,the Caddoan language spoken by the Arikara,language,Exact,TRUE,
"Pawnee, Pawnee language",https://en-word.net/id/oewn-06928703-n,https://www.wikidata.org/entity/Q56751,the Caddoan language spoken by the Pawnee,language,Exact,TRUE,
"Wichita, Wichita language",https://en-word.net/id/oewn-06928797-n,https://www.wikidata.org/entity/Q56513,the Caddoan language spoken by the Wichita,Extinct Native American language,Exact,TRUE,
"Iroquoian, Iroquois, Iroquoian language",https://en-word.net/id/oewn-06929579-n,https://www.wikidata.org/entity/Q33623,a family of North American Indian languages spoken by the Iroquois,Native American language family,Exact,TRUE,
"Cherokee, Cherokee language",https://en-word.net/id/oewn-06928893-n,https://www.wikidata.org/entity/Q33388,the Iroquoian language spoken by the Cherokee,Iroquoian language spoken by the Cherokee people,Exact,TRUE,
"Cayuga, Cayuga language",https://en-word.net/id/oewn-06928993-n,https://www.wikidata.org/entity/Q32967,the Iroquoian language spoken by the Cayuga,Northern Iroquoian language,Exact,TRUE,
"Mohawk, Mohawk language",https://en-word.net/id/oewn-06929089-n,https://www.wikidata.org/entity/Q13339,the Iroquoian language spoken by the Mohawk,Indigenous language spoken by Mohawk peoples in North America,Exact,TRUE,
"Seneca, Seneca language",https://en-word.net/id/oewn-06929185-n,https://www.wikidata.org/entity/Q1185133,the Iroquoian language spoken by the Seneca,"Iroquoian language, spoken in western New York at the time of European contact",Exact,TRUE,
"Oneida, Oneida language",https://en-word.net/id/oewn-06929281-n,https://www.wikidata.org/entity/Q857858,the Iroquoian language spoken by the Oneida,language,Exact,TRUE,
"Onondaga, Onondaga language",https://en-word.net/id/oewn-06929377-n,https://www.wikidata.org/entity/Q1077450,the Iroquoian language spoken by the Onondaga,Iroquoian language native to the southern shores of lake Ontario in NE North America,Exact,TRUE,
"Tuscarora, Tuscarora language",https://en-word.net/id/oewn-06929477-n,https://www.wikidata.org/entity/Q36944,the Iroquoian language spoken by the Tuscarora,language,Exact,TRUE,
"Quechua, Quechuan, Quechuan language, Kechua, Kechuan, Quechua language, Kechua language, Kechuan language",https://en-word.net/id/oewn-06929859-n,https://www.wikidata.org/entity/Q5218,the language of the Quechua which was spoken by the Incas,language family spoken primarily in the Andes region of South America,Multiple,TRUE,
"Quechua, Quechuan, Quechuan language, Kechua, Kechuan, Quechua language, Kechua language, Kechuan language",https://en-word.net/id/oewn-06929859-n,https://www.wikidata.org/entity/Q12634451,the language of the Quechua which was spoken by the Incas,language family according to ISO 639-5,Multiple,FALSE,
"Maraco, Maracan language, Maraco language",https://en-word.net/id/oewn-06930168-n,,the language spoken by the Maraco,,None,FALSE,Doesn't exist
"Tupi-Guarani, Tupi-Guarani language",https://en-word.net/id/oewn-06930378-n,,a family of South American Indian languages,,None,FALSE,https://www.wikidata.org/wiki/Q148610
"Guarani, Guarani language",https://en-word.net/id/oewn-06930056-n,https://www.wikidata.org/entity/Q35876,the language spoken by the Guarani of Paraguay and Bolivia,"Tupian language of Paraguay, Argentina, Brazil and Bolivia",Multiple,TRUE,
"Guarani, Guarani language",https://en-word.net/id/oewn-06930056-n,https://www.wikidata.org/entity/Q2997494,the language spoken by the Guarani of Paraguay and Bolivia,language group,Multiple,FALSE,
"Tupi, Tupi language",https://en-word.net/id/oewn-06930273-n,https://www.wikidata.org/entity/Q56944,the language spoken by the Tupi of Brazil and Paraguay,extinct Tupian language of Brazil,Exact,TRUE,
"Arawak, Arawakan",https://en-word.net/id/oewn-06930540-n,https://www.wikidata.org/entity/Q2655664,a family of South American Indian languages spoken in northeastern South America,language spoken by the Lokono people,Multiple,FALSE,
"Arawak, Arawakan",https://en-word.net/id/oewn-06930540-n,https://www.wikidata.org/entity/Q626753,a family of South American Indian languages spoken in northeastern South America,language family,Multiple,TRUE,
