QID,Labels,Frequency,Linked,Lemma,WN Description,Manual Review Section,Accept,Not an occupation,Notes,Correct Wikidata
http://www.wikidata.org/entity/Q82955,"politician, political leader, political figure",835680,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10469877-n,"pol, political leader, politician, politico",a person active in party politics,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q36180,"writer, author, writers",368399,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10820913-n,writer,a person who is able to write and has written something,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q937857,"association football player, football player, association footballer",366415,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10121403-n,"football player, footballer",an athlete who plays American football,manual_review_multi.csv,FALSE,FALSE,w,
http://www.wikidata.org/entity/Q1028181,painter,205957,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10411352-n,painter,an artist who paints,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q3665646,"basketball player, basketballer, professional basketball player",172994,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09861435-n,"basketball player, basketeer, cager",an athlete who plays basketball,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q1930187,"journalist, journo",169722,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10244248-n,journalist,a writer for newspapers and magazines,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q49757,"poet, poetess, bard",118760,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10463768-n,poet,a writer of poems (the term is usually reserved for writers of good poetry),manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q177220,"singer, vocalist, songstress",113179,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10619214-n,"singer, vocaliser, vocalist, vocalizer",a person who sings,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q36834,"composer, music composer",108473,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09966711-n,composer,"someone who composes music, usually as a profession",manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q201788,"historian, historiographer, historians",108425,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10196781-n,"historian, historiographer",a person who is an authority on history and who studies it and writes about it,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q47064,"military personnel, military forces, military members",100325,https://en-word.net/id/oewn-https://en-word.net/id/oewn-08414212-n,"military personnel, soldiery, troops",soldiers collectively,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q47064,"military personnel, military forces, military members",100325,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10602198-n,"man, serviceman, military man, military personnel",someone who serves in the armed forces; a member of a military force; two men stood sentry duty,manual_review_multi.csv,TRUE,FALSE,,
