QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q189533,https://en-word.net/id/oewn-06710094-n,"academic degree, degree","academic degree, degree",5,TRUE,,
http://www.wikidata.org/entity/Q189533,https://en-word.net/id/oewn-06709228-n,"award, accolade, honor, honour, laurels","academic degree, degree",5,FALSE,,
http://www.wikidata.org/entity/Q189533,https://en-word.net/id/oewn-06819327-n,symbol,"academic degree, degree",5,FALSE,,
http://www.wikidata.org/entity/Q189533,https://en-word.net/id/oewn-06804229-n,"signal, signaling, sign, signalling","academic degree, degree",5,FALSE,,
http://www.wikidata.org/entity/Q189533,https://en-word.net/id/oewn-00033319-n,communication,"academic degree, degree",5,FALSE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-00023451-n,"cognition, knowledge, noesis","academic discipline, branch (academic), discipline",12,FALSE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-00023280-n,psychological feature,"academic discipline, branch (academic), discipline",12,FALSE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-06005806-n,"discipline, subject, subject area, subject field, field, field of study, study, bailiwick","academic discipline, branch (academic), discipline",11,TRUE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-06008444-n,"knowledge domain, knowledge base, domain","academic discipline, branch (academic), discipline",11,FALSE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-05817200-n,"content, cognitive content, mental object","academic discipline, branch (academic), discipline",11,FALSE,,
http://www.wikidata.org/entity/Q11862829,https://en-word.net/id/oewn-06008975-n,"science, scientific discipline","academic discipline, branch (academic), discipline",8,FALSE,,
http://www.wikidata.org/entity/Q4671286,https://en-word.net/id/oewn-00023451-n,"cognition, knowledge, noesis","academic major, main speciality of study, main field of study",7,FALSE,,
http://www.wikidata.org/entity/Q4671286,https://en-word.net/id/oewn-00023280-n,psychological feature,"academic major, main speciality of study, main field of study",7,FALSE,,
http://www.wikidata.org/entity/Q4671286,https://en-word.net/id/oewn-06005806-n,"discipline, subject, subject area, subject field, field, field of study, study, bailiwick","academic major, main speciality of study, main field of study",5,TRUE,,
