Scientific Name,SSID,QID,WordNet Definition,Wikidata Description,Status,Accept,
Gallus gallus,01794104-n,Q184774,a jungle fowl of southeastern Asia that is considered ancestral to the domestic fowl,species of bird; wild ancestor of the domesticated chicken,Multiple,FALSE,
Gallus gallus,01794266-n,Q184774,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,species of bird; wild ancestor of the domesticated chicken,Multiple,TRUE,
Spodoptera frugiperda,02300747-n,Q2715913,moth whose larvae are fall armyworms,species of moth,Multiple,TRUE,
Spodoptera frugiperda,02300870-n,Q2715913,larva of a migratory American noctuid moth; destroys grasses and small grains,species of moth,Multiple,FALSE,
Clusia rosea,12386830-n,Q5775234,a common tropical American clusia having solitary white or rose flowers,species of plant,Multiple,TRUE,
Clusia rosea,12386830-n,Q98842784,a common tropical American clusia having solitary white or rose flowers,,Multiple,FALSE,
Helvella crispa,13056685-n,Q108900980,a helvella with a saddle-shaped fertile part and creamy color; the stalk is fluted and pitted,,Multiple,FALSE,
Helvella crispa,13056685-n,Q1516648,a helvella with a saddle-shaped fertile part and creamy color; the stalk is fluted and pitted,species of fungus,Multiple,TRUE,
Vincetoxicum hirsutum,13260634-n,Q124757631,twining vine with hairy foliage and dark purplish-brown flowers,species of plant,Multiple,TRUE,
Vincetoxicum hirsutum,13260634-n,Q15380282,twining vine with hairy foliage and dark purplish-brown flowers,later homonym,Multiple,FALSE,
Spodoptera exigua,02300471-n,Q310344,moth whose larvae are beet armyworms,species of moth,Multiple,TRUE,
Spodoptera exigua,02300590-n,Q310344,moth larva that eats foliage of beets and other vegetables,species of moth,Multiple,FALSE,
Manduca quinquemaculata,02302030-n,Q1303141,moth whose larvae are tomato hornworms,species of insect,Multiple,TRUE,
Manduca quinquemaculata,02302157-n,Q1303141,large green white-striped hawkmoth larva that feeds on tomato and potato plants; similar to tobacco hornworm,species of insect,Multiple,FALSE,
Manduca sexta,02301691-n,Q1366539,moth whose larvae are tobacco hornworms,species of moth of the family Sphingidae present through much of the American continent,Multiple,TRUE,
Manduca sexta,02301809-n,Q1366539,large green white-striped hawkmoth larva that feeds on tobacco and related plants; similar to tomato hornworm,species of moth of the family Sphingidae present through much of the American continent,Multiple,FALSE,
Clusia flava,12386570-n,Q20983176,a West Indies clusia having fig-shaped fruit,species of plant,Multiple,TRUE,
Clusia flava,12386570-n,Q5775212,a West Indies clusia having fig-shaped fruit,species of insect,Multiple,FALSE,
Sus scrofa,02398058-n,Q58697,domestic swine,omnivore species of mammal,Multiple,TRUE,
Sus scrofa,02399079-n,Q58697,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States,omnivore species of mammal,Multiple,FALSE,
Cucurbita maxima,12181573-n,Q161180,any of several winter squash plants producing large greyish-green football-shaped fruit with a rough warty rind,family of winter squash,Multiple,TRUE,
Cucurbita maxima,12182261-n,Q161180,plant bearing buff-colored squash having somewhat bottle-shaped fruit with fine-textured edible flesh and a smooth thin rind,family of winter squash,Multiple,FALSE,wrong synset
Centaurium minus,12311660-n,Q116894063,common European glabrous annual centaury with flowers in dense cymes,,Multiple,FALSE,
Centaurium minus,12311660-n,Q111802984,common European glabrous annual centaury with flowers in dense cymes,"species, by Garsault, 1764 (unplaced), in family Gentianaceae",Multiple,TRUE,
Sorbus torminalis,12679825-n,Q128012298,European tree bearing edible small speckled brown fruit,"Wild Service Tree, Checkertree Tree 20.0 5-9 M LMH SN M 4 0 2",Multiple,FALSE,
Sorbus torminalis,12679825-n,Q147459,European tree bearing edible small speckled brown fruit,species of plant,Multiple,TRUE,
Pieris rapae,02283667-n,Q27653,small widely distributed form,species of butterfly,Multiple,TRUE,
Pieris rapae,02313237-n,Q27653,toxic green larva of a cabbage butterfly,species of butterfly,Multiple,FALSE,
Viverricula indica,02138496-n,Q734351,a common civet of southeast Asia,species of mammal,Multiple,TRUE,
Viverricula indica,02138496-n,Q122789605,a common civet of southeast Asia,species of mammal,Multiple,FALSE,
Malacosoma disstria,02310167-n,Q2121239,moth whose gregarious larvae spin webs resembling carpets,species of insect,Multiple,TRUE,
Malacosoma disstria,02310333-n,Q2121239,larvae of a gregarious North American moth that spins a web resembling a carpet rather than a tent; serious defoliator of deciduous trees,species of insect,Multiple,FALSE,
Phthorimaea operculella,02297059-n,Q3038703,greyish-brown moth whose larva is the potato tuberworm,species of moth,Multiple,TRUE,
Phthorimaea operculella,02297229-n,Q3038703,larva of potato moth; mines in leaves and stems of e.g. potatoes and tobacco,species of moth,Multiple,FALSE,
Pseudaletia unipuncta,02299946-n,Q17294983,moth whose destructive larvae travel in multitudes,species of insect,Multiple,TRUE,
Pseudaletia unipuncta,02300094-n,Q17294983,noctuid moth larvae that travel in multitudes destroying especially grass and grain,species of insect,Multiple,FALSE,
Hyphantria cunea,02311270-n,Q1333342,moth whose larvae are fall webworms,species of insect,Multiple,TRUE,
Hyphantria cunea,02311387-n,Q1333342,a variety of webworm known as the fall webworm (Hyphantria cunea),species of insect,Multiple,FALSE,
Brassica oleracea,11895992-n,Q146212,wild original of cultivated cabbages; common in western coastal Europe,species of plant,Multiple,TRUE,
Brassica oleracea,11896160-n,Q146212,any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers,species of plant,Multiple,FALSE,
Samia cynthia,02306237-n,Q1462214,large Asiatic moth introduced into the United States; larvae feed on the ailanthus,species of insect,Multiple,TRUE,
Samia cynthia,02306429-n,Q1462214,large green silkworm of the cynthia moth,species of insect,Multiple,FALSE,
Gulo gulo,02451981-n,Q14334,musteline mammal of northern Eurasia,largest land-dwelling species of the family Mustelidae,No taxon match,TRUE,
Leopardus pardalis,02128146-n,Q33261,nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat,species of wild cat,No taxon match,TRUE,
Platycladus orientalis,11664913-n,Q33482,Asiatic shrub or small tree widely planted in United States and Europe; in some classifications assigned to its own genus,species of plant,No taxon match,TRUE,
Ursus maritimus,02136736-n,Q33609,white bear of Arctic regions,species of bear native largely within the Arctic Circle,No taxon match,TRUE,
Gnetum gnemon,11618108-n,Q72368,small tropical tree with tiered branches and divaricate branchlets having broad glossy dark green leaves; exploited for its edible young leaves and seeds that provide a fine flour,species of plant,No taxon match,TRUE,
Lactobacillus acidophilus,01382939-n,Q132644,a bacterium that is used to make yogurt and to supplement probiotics,species of bacterium,No taxon match,TRUE,
Aspergillus fumigatus,13048317-n,Q134359,a mold causing aspergillosis in birds and man,species of fungus,No taxon match,TRUE,
Euphorbia antisyphilitica,12941886-n,Q143244,wax-coated shrub of northern Mexico and southwestern United States,species of plant,No taxon match,TRUE,
Helianthus tuberosus,12000184-n,Q146190,tall perennial with hairy stems and leaves; widely cultivated for its large irregular edible tubers,species of sunflower native to eastern North America (for the root vegetable use Q55706475),No taxon match,TRUE,
Juncus tenuis,11764940-n,Q148097,tufted wiry rush of wide distribution,species of plant,No taxon match,TRUE,
Yersinia pestis,01353342-n,Q153875,a bacillus bacterium that causes the plague; aerosolized bacteria can be used as a bioweapon,"species of bacteria, cause of plague",No taxon match,TRUE,
Sedum acre,12806857-n,Q156823,mossy European creeping sedum with yellow flowers; widely introduced as a ground cover,species of plant,No taxon match,TRUE,
Juniperus virginiana,11657698-n,Q157522,"small juniper found east of Rocky Mountains having a conic crown, brown bark that peels in shreds, and small sharp needles",species of plant,No taxon match,TRUE,
Mahonia aquifolium,11719911-n,Q158303,ornamental evergreen shrub of Pacific coast of North America having dark green pinnate leaves and racemes of yellow flowers followed by blue-black berries,species of plant,No taxon match,TRUE,
Holcus mollis,12143435-n,Q158965,European perennial grass with soft velvety foliage,species of plant,No taxon match,TRUE,
Hieracium aurantiacum,12024283-n,Q159107,European hawkweed having flower heads with bright orange-red rays; a troublesome weed especially as naturalized in northeastern North America; sometimes placed in genus Hieracium,species of plants,No taxon match,TRUE,
Ophrys apifera,12095368-n,Q159291,European orchid whose flowers resemble bumble bees in shape and color,species of plant,No taxon match,TRUE,
Phaseolus coccineus,12578186-n,Q159753,tropical American bean with red flowers and mottled black beans similar to Phaseolus vulgaris but perennial; a preferred food bean in Great Britain,species of flowering plant,No taxon match,TRUE,
Cycas revoluta,11621628-n,Q161517,dwarf palmlike cycad of Japan that yields sago,species of plant,No taxon match,TRUE,
Bufo viridis,01649543-n,Q243242,Eurasian toad with variable chiefly green coloring,species of amphibian,No taxon match,TRUE,
Pinus monticola,11633910-n,Q261309,tall pine of western North America with stout blue-green needles; bark is grey-brown with rectangular plates when mature,species of plant,No taxon match,TRUE,
Vitis labrusca,13165817-n,Q311720,native grape of northeastern United States; origin of many cultivated varieties e.g. Concord grapes,species of plant,No taxon match,TRUE,
Anoplophora glabripennis,02185748-n,Q312378,a beetle from China that has been found in the United States and is a threat to hardwood trees; lives inside the tree; no natural predators in the United States,species of beetle,No taxon match,TRUE,
Megaderma lyra,02147588-n,Q373028,large carnivorous Old World bat with very large ears,species of mammal,No taxon match,TRUE,
Picea rubens,11647277-n,Q469151,medium-sized spruce of eastern North America; chief lumber spruce of the area; source of pulpwood,species of plant,No taxon match,TRUE,
