SSID 1,Lemmas 1,SSID 2,Lemmas 2,Accept
11550054-n,"Plantae, kingdom Plantae, plant kingdom",00017402-n,"plant, flora, plant life",TRUE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11555128-n,plant order,FALSE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11765052-n,plant family,FALSE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11765328-n,plant genus,FALSE
11558792-n,"Anthocerotales, order Anthocerotales",11559271-n,hornwort,TRUE
11563371-n,"Jungermanniales, order Jungermanniales",11563556-n,"leafy liverwort, scale moss",TRUE
12246839-n,"Ericaceae, family Ericaceae, heath family",12247449-n,heath,TRUE
12799686-n,"Sarraceniales, order Sarraceniales",12800363-n,pitcher plant,TRUE
13238111-n,"Psilophytales, order Psilophytales",13238392-n,psilophyte,TRUE
11557229-n,"Bryophyta, division Bryophyta",11557778-n,"bryophyte, nonvascular plant",TRUE
11557229-n,"Bryophyta, division Bryophyta",11558116-n,moss family,FALSE
11557229-n,"Bryophyta, division Bryophyta",11558337-n,moss genus,FALSE
11562370-n,genus Sphagnum,11562588-n,"sphagnum, sphagnum moss, peat moss, bog moss",TRUE
11562792-n,"Hepaticopsida, class Hepaticopsida, Hepaticae, class Hepaticae",11563091-n,"liverwort, hepatic",TRUE
11565220-n,"Pteridophyta, division Pteridophyta",11565975-n,"pteridophyte, nonflowering plant",TRUE
11565220-n,"Pteridophyta, division Pteridophyta",13187236-n,fern family,FALSE
11565220-n,"Pteridophyta, division Pteridophyta",13187976-n,fern genus,FALSE
11565665-n,genus Pecopteris,11565801-n,pecopteris,TRUE
11649952-n,"Cupressaceae, family Cupressaceae, cypress family",11650468-n,"cedar, cedar tree",FALSE
11649952-n,"Cupressaceae, family Cupressaceae, cypress family",84481488-n,"sequoia, redwood",FALSE
11681430-n,"Taxaceae, family Taxaceae, yew family",11681823-n,yew,TRUE
11618903-n,genus Ephedra,11619137-n,"ephedra, joint fir",TRUE
11622208-n,genus Zamia,11622369-n,zamia,TRUE
11622755-n,genus Ceratozamia,11622929-n,ceratozamia,TRUE
11623122-n,genus Dioon,11623324-n,dioon,TRUE
11623496-n,genus Encephalartos,11623697-n,encephalartos,TRUE
11624081-n,genus Macrozamia,11624286-n,macrozamia,TRUE
11628506-n,"Pinus, genus Pinus",11628701-n,"pine, pine tree, true pine",TRUE
11628506-n,"Pinus, genus Pinus",11629926-n,"pinon, pinyon",FALSE
11639201-n,"Larix, genus Larix",11639312-n,"larch, larch tree",TRUE
11641011-n,"Abies, genus Abies",11641124-n,"fir, fir tree, true fir",TRUE
11643439-n,"Cedrus, genus Cedrus",11643556-n,"cedar, cedar tree, true cedar",TRUE
11644818-n,"Picea, genus Picea",11644982-n,spruce,TRUE
11647479-n,"Tsuga, genus Tsuga",11647619-n,"hemlock, hemlock tree",TRUE
11648735-n,"Pseudotsuga, genus Pseudotsuga",11648907-n,douglas fir,TRUE
11650802-n,"Cupressus, genus Cupressus",11650940-n,"cypress, cypress tree",TRUE
11653910-n,"Callitris, genus Callitris",86491841-n,cypress pine,TRUE
11656840-n,"Juniperus, genus Juniperus",80945361-n,juniper,TRUE
11656840-n,"Juniperus, genus Juniperus",11657466-n,"pencil cedar, pencil cedar tree",FALSE
11659353-n,"Libocedrus, genus Libocedrus",11659535-n,incense cedar,TRUE
11662239-n,"Taxodium, genus Taxodium",83153902-n,"bald cypress, swamp cypress, pond bald cypress, southern cypress",FALSE
11662239-n,"Taxodium, genus Taxodium",80820791-n,"pond cypress, bald cypress",FALSE
11665492-n,genus Keteleeria,11665614-n,keteleeria,TRUE
11666234-n,genus Araucaria,11666365-n,araucaria,TRUE
11667582-n,"Agathis, genus Agathis",11667757-n,"kauri pine, dammar pine",TRUE
11669068-n,"Cephalotaxus, genus Cephalotaxus",11669227-n,plum-yew,TRUE
11670200-n,"Phyllocladus, genus Phyllocladus",11670329-n,celery pine,TRUE
11672182-n,"Podocarpus, genus Podocarpus",11672490-n,podocarp,TRUE
12431589-n,"Iridaceae, family Iridaceae, iris family",12431966-n,iridaceous plant,TRUE
12432215-n,genus Iris,12432427-n,"iris, flag, fleur-de-lis, sword lily",TRUE
12432215-n,genus Iris,12432860-n,bearded iris,FALSE
12432215-n,genus Iris,12433111-n,beardless iris,FALSE
12432215-n,genus Iris,12433355-n,bulbous iris,FALSE
12439185-n,"Amaryllidaceae, family Amaryllidaceae, amaryllis family",12439542-n,amaryllis,TRUE
12444070-n,"Liliaceae, family Liliaceae, lily family",12445786-n,liliaceous plant,TRUE
12444070-n,"Liliaceae, family Liliaceae, lily family",12462463-n,asphodel,FALSE
11763578-n,"Juncaceae, family Juncaceae, rush family",11763763-n,rush,TRUE
11799003-n,"Araceae, family Araceae, arum family",11799769-n,"arum, aroid",TRUE
11814736-n,"Lemnaceae, family Lemnaceae, duckweed family",11814988-n,duckweed,TRUE
12060212-n,"Orchidaceae, family Orchidaceae, orchid family",12061915-n,"orchid, orchidaceous plant",TRUE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12122387-n,"gramineous plant, graminaceous plant",TRUE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12152067-n,"meadowgrass, meadow grass",FALSE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12156415-n,millet,FALSE
12133306-n,"Calamagrostis, genus Calamagrostis",12133435-n,reed grass,FALSE
12170268-n,"Cyperaceae, family Cyperaceae, sedge family",12170545-n,sedge,TRUE
12332411-n,"Haemodoraceae, family Haemodoraceae, bloodwort family",12332627-n,bloodwort,TRUE
12602129-n,"Palmae, family Palmae, Palmaceae, family Palmaceae, Arecaceae, family Arecaceae, palm family",12602979-n,"palm, palm tree",TRUE
12626726-n,"Commelinaceae, family Commelinaceae, spiderwort family",12627306-n,"spiderwort, dayflower",TRUE
12636188-n,"Potamogetonaceae, family Potamogetonaceae, pondweed family",12636471-n,pondweed,TRUE
12436783-n,genus Crocus,12436928-n,crocus,TRUE
12437422-n,genus Freesia,12437567-n,freesia,TRUE
12437778-n,genus Gladiolus,12437887-n,"gladiolus, gladiola, glad, sword lily",TRUE
12438191-n,"Ixia, genus Ixia",12438341-n,corn lily,TRUE
12438570-n,"Sisyrinchium, genus Sisyrinchium",12438726-n,blue-eyed grass,TRUE
12440840-n,"Haemanthus, genus Haemanthus",12441040-n,blood lily,TRUE
12441839-n,genus Narcissus,12441972-n,narcissus,TRUE
12443436-n,"Hypoxis, genus Hypoxis",12443716-n,star grass,TRUE
12446605-n,"Lilium, genus Lilium",12446753-n,lily,TRUE
