Taxon,Name,Definition,OEWN,Taxon,Name,Definition,Wikidata QID,Type,Accept,Notes
kingdom,Plantae,(botany) the taxonomic kingdom comprising all living or extinct plants,https://en-word.net/id/oewn-11550054-n,kingdom,Plantae,living thing in the kingdom of photosynthetic eukaryotes,https://www.wikidata.org/entity/Q756,Exact,TRUE,
order,Anthocerotales,hornworts; liverworts having a thalloid gametophyte; in some classification systems included in the class Hepaticopsida,https://en-word.net/id/oewn-11558792-n,order,Anthocerotales,order of plants,https://www.wikidata.org/entity/Q5696912,Exact,TRUE,
family,Anthocerotaceae,the family of hornworts (Anthocerotaceae),https://en-word.net/id/oewn-11559033-n,family,Anthocerotaceae,family of plants,https://www.wikidata.org/entity/Q1050205,Exact,TRUE,
genus,Anthoceros,the genus of hornworts (Anthoceros),https://en-word.net/id/oewn-11559167-n,genus,Anthoceros,genus of plants,https://www.wikidata.org/entity/Q1012757,Exact,TRUE,
class,Bryopsida,"true mosses: bryophytes having leafy rather than thalloid gametophytes: comprises orders Andreaeales, Bryales, Dicranales, Eubryales, Sphagnales",https://en-word.net/id/oewn-11559386-n,class,Bryopsida,class of plants,https://www.wikidata.org/entity/Q831482,Exact,TRUE,
order,Andreaeales,comprises a single genus: Andreaea,https://en-word.net/id/oewn-11560126-n,order,Andreaeales,order of plants,https://www.wikidata.org/entity/Q2846441,Exact,TRUE,
genus,Andreaea,brown or blackish Alpine mosses having a dehiscent capsule with 4 longitudinal slits,https://en-word.net/id/oewn-11560276-n,genus,Andreaea,genus of plants,https://www.wikidata.org/entity/Q139017,Exact,TRUE,
order,Bryales,category used in some classification systems for mosses having the spore case separated from the capsule wall by a hollow intercellular space,https://en-word.net/id/oewn-11560451-n,order,Bryales,order of plants,https://www.wikidata.org/entity/Q140344,Exact,TRUE,
order,Dicranales,widely distributed order of mosses with erect gametophores and sporophytes at the tips of stems,https://en-word.net/id/oewn-11560681-n,order,Dicranales,order of plants,https://www.wikidata.org/entity/Q141514,Exact,TRUE,
family,Dicranaceae,mosses having costate leaves and long-stalked capsules with cleft peristome,https://en-word.net/id/oewn-11560890-n,family,Dicranaceae,family of plants,https://www.wikidata.org/entity/Q150337,Exact,TRUE,
genus,Dicranum,type genus of Dicranaceae,https://en-word.net/id/oewn-11561082-n,genus,Dicranum,genus of plants,https://www.wikidata.org/entity/Q140965,Exact,TRUE,
order,Eubryales,mosses with perennial erect gametophores and stems with rows of leaves and drooping capsules,https://en-word.net/id/oewn-11561198-n,order,Eubryales,order of plants,https://www.wikidata.org/entity/Q17277039,Exact,TRUE,
family,Bryaceae,a family of acrocarpous mosses,https://en-word.net/id/oewn-11561421-n,family,Bryaceae,family of plants,https://www.wikidata.org/entity/Q140324,Exact,TRUE,
genus,Bryum,type genus of the Bryaceae: mosses distinguished by mostly erect and tufted gametophytes and symmetrical short-necked capsules,https://en-word.net/id/oewn-11561562-n,genus,Bryum,genus of plants,https://www.wikidata.org/entity/Q146228,Exact,TRUE,
family,Mniaceae,family of erect mosses with club-shaped paraphyses and the hexagonal cells of the upper leaf surface; sometimes treated as a subfamily of Bryaceae,https://en-word.net/id/oewn-11561773-n,family,Mniaceae,family of plants,https://www.wikidata.org/entity/Q446766,Exact,TRUE,
genus,Mnium,mosses similar to those of genus Bryum but larger,https://en-word.net/id/oewn-11562030-n,genus,Mnium,genus of plants,https://www.wikidata.org/entity/Q150344,Exact,TRUE,
order,Sphagnales,coextensive with the genus Sphagnum; in some classifications isolated in a separate subclass,https://en-word.net/id/oewn-11562164-n,order,Sphagnales,order of mosses containing peat mosses,https://www.wikidata.org/entity/Q1138673,Exact,TRUE,
genus,Sphagnum,a large genus constituting the order Sphagnales: atypical mosses of temperate bogs with leaves that can hold much water,https://en-word.net/id/oewn-11562370-n,genus,Sphagnum,"genus of mosses, peat moss",https://www.wikidata.org/entity/Q30019,Exact,TRUE,
class,Hepaticopsida,"liverworts: comprises orders Anthocerotales, Jungermanniales, Marchantiales, Sphaerocarpales",https://en-word.net/id/oewn-11562792-n,class,Hepaticopsida,class of liverworts,https://www.wikidata.org/entity/Q16111747,Exact,TRUE,
order,Jungermanniales,large order of chiefly tropical liverworts,https://en-word.net/id/oewn-11563371-n,order,Jungermanniales,order of plants,https://www.wikidata.org/entity/Q141240,Exact,TRUE,
family,Jungermanniaceae,comprising the leafy members of the order Jungermanniales,https://en-word.net/id/oewn-11563715-n,family,Jungermanniaceae,family of plants,https://www.wikidata.org/entity/Q1713397,Exact,TRUE,
order,Marchantiales,liverworts with gametophyte differentiated internally,https://en-word.net/id/oewn-11563880-n,order,Marchantiales,order of plants,https://www.wikidata.org/entity/Q139099,Exact,TRUE,
family,Marchantiaceae,liverworts with prostrate and usually dichotomously branched thalli,https://en-word.net/id/oewn-11564053-n,family,Marchantiaceae,family of plants,https://www.wikidata.org/entity/Q138798,Exact,TRUE,
genus,Marchantia,type genus of Marchantiaceae; liverworts that reproduce asexually by gemmae and have stalked antheridiophores,https://en-word.net/id/oewn-11564243-n,genus,Marchantia,genus of plants,https://www.wikidata.org/entity/Q1152975,Exact,TRUE,
order,Sphaerocarpales,small order sometimes included in the order Jungermanniales,https://en-word.net/id/oewn-11564582-n,order,Sphaerocarpales,order of plants,https://www.wikidata.org/entity/Q147918,Exact,TRUE,
family,Sphaerocarpaceae,liverworts with bilaterally symmetrical gametophytes; sometimes placed in the order Jungermanniales,https://en-word.net/id/oewn-11564765-n,family,Sphaerocarpaceae,family of liverworts,https://www.wikidata.org/entity/Q3894988,Exact,TRUE,
genus,Sphaerocarpos,type genus of Sphaerocarpaceae; liverworts with small many-lobed usually orbicular thallus,https://en-word.net/id/oewn-11564991-n,genus,Sphaerocarpos,genus of liverworts,https://www.wikidata.org/entity/Q7576518,Conflict,TRUE,
genus,Sphaerocarpus,type genus of Sphaerocarpaceae; liverworts with small many-lobed usually orbicular thallus,https://en-word.net/id/oewn-11564991-n,genus,Sphaerocarpus,genus of slime moulds,https://www.wikidata.org/entity/Q105183711,Conflict,FALSE,
genus,Pecopteris,genus of Carboniferous fossil ferns,https://en-word.net/id/oewn-11565665-n,genus,Pecopteris,genus of plants (fossil),https://www.wikidata.org/entity/Q144285,Exact,TRUE,
class,Gnetopsida,gymnospermous flowering plants; supposed link between conifers and angiosperms; in some systems classified as a class (Gnetopsida) and in others as a subdivision (Gnetophytina or Gnetophyta),https://en-word.net/id/oewn-11616937-n,class,Gnetopsida,class of plants,https://www.wikidata.org/entity/Q1011212,Exact,TRUE,
order,Gnetales,chiefly tropical or xerophytic woody plants; practically unknown as fossils but considered close to the ancestral line of angiosperms,https://en-word.net/id/oewn-11617296-n,order,Gnetales,order of plants,https://www.wikidata.org/entity/Q2705562,Exact,TRUE,
family,Gnetaceae,plants having small unisexual flowers and fleshy or winged fruit: in some classifications includes the genera Ephedra and Welwitschia as well as genus Gnetum,https://en-word.net/id/oewn-11617577-n,family,Gnetaceae,family of plants,https://www.wikidata.org/entity/Q2056554,Exact,TRUE,
genus,Gnetum,type genus of the Gnetaceae; small trees or shrubs usually with climbing jointed stems and terminal spikes of flowers with orange-red seeds clustered in rough cones,https://en-word.net/id/oewn-11617847-n,genus,Gnetum,genus of plants,https://www.wikidata.org/entity/Q131550,Exact,TRUE,
family,Ephedraceae,ephedras: in some classifications included in the Gnetaceae,https://en-word.net/id/oewn-11618375-n,family,Ephedraceae,family of plants,https://www.wikidata.org/entity/Q10376735,Exact,TRUE,
genus,Catha,a genus of African evergreen shrubs characterized by thick leaves and white flowers,https://en-word.net/id/oewn-11618551-n,genus,Catha,genus of plants,https://www.wikidata.org/entity/Q8342894,Exact,TRUE,
genus,Ephedra,type and sole genus of Ephedraceae: tropical and subtropical evergreen shrubby or creeping plants native to dry and inhospitable regions,https://en-word.net/id/oewn-11618903-n,genus,Ephedra,genus of plants,https://www.wikidata.org/entity/Q838000,Exact,TRUE,
family,Welwitschiaceae,in some classifications included in the Gnetaceae,https://en-word.net/id/oewn-11619442-n,family,Welwitschiaceae,family of plants,https://www.wikidata.org/entity/Q10780833,Exact,TRUE,
genus,Welwitschia,type and sole genus of Welwitschiaceae,https://en-word.net/id/oewn-11619616-n,genus,Welwitschia,genus of plants,https://www.wikidata.org/entity/Q15044266,Exact,TRUE,
class,Welwitschia,palmlike gymnosperms: includes the surviving order Cycadales and several extinct orders; possibly not a natural group; in some systems considered a class (Cycadopsida) and in others a subdivision (Cycadophytina or Cycadophyta),https://en-word.net/id/oewn-11620145-n,class,Cycadopsida,class of plants,https://www.wikidata.org/entity/Q5605610,Exact,TRUE,
order,Cycadales,"primitive tropical gymnosperms abundant in the Mesozoic, now reduced to a few scattered tropical forms",https://en-word.net/id/oewn-11620590-n,order,Cycadales,order of plants,https://www.wikidata.org/entity/Q157114,Exact,TRUE,
family,Cycadaceae,ancient palmlike plants closely related to ferns in that fertilization is by means of spermatozoids,https://en-word.net/id/oewn-11621122-n,family,Cycadaceae,family of plants,https://www.wikidata.org/entity/Q11773804,Exact,TRUE,
genus,Cycas,type genus of Cycadaceae: genus of widely distributed Old World evergreen tropical trees having pinnate leaves and columnar stems covered with persistent bases of old leaves,https://en-word.net/id/oewn-11621351-n,genus,Cycas,genus of cycads in the family Cycadaceae,https://www.wikidata.org/entity/Q161073,Exact,TRUE,
family,Zamiaceae,a family of cycads often included in the family Cycadaceae: zamias,https://en-word.net/id/oewn-11621938-n,family,Zamiaceae,family of plants,https://www.wikidata.org/entity/Q133329,Exact,TRUE,
genus,Zamia,genus of small evergreen tropical and subtropical American cycads,https://en-word.net/id/oewn-11622208-n,genus,Zamia,genus of plants,https://www.wikidata.org/entity/Q134842,Exact,TRUE,
genus,Ceratozamia,small genus of Mexican cycads; sometimes classified in family Cycadaceae,https://en-word.net/id/oewn-11622755-n,genus,Ceratozamia,genus of plants,https://www.wikidata.org/entity/Q135250,Exact,TRUE,
genus,Dioon,small genus of arborescent cycads of Mexico and Central America; sometimes classified in family Cycadaceae,https://en-word.net/id/oewn-11623122-n,genus,Dioon,genus of plants,https://www.wikidata.org/entity/Q135605,Exact,TRUE,
genus,Encephalartos,genus of arborescent African cycads; sometimes classified in family Cycadaceae,https://en-word.net/id/oewn-11623496-n,genus,Encephalartos,genus of plants,https://www.wikidata.org/entity/Q947957,Exact,TRUE,
genus,Macrozamia,genus of large evergreen Australian cycads; sometimes classified in family Cycadaceae,https://en-word.net/id/oewn-11624081-n,genus,Macrozamia,genus of plants,https://www.wikidata.org/entity/Q138789,Exact,TRUE,
order,Bennettitales,fossil gymnospermous plants of the Carboniferous,https://en-word.net/id/oewn-11624676-n,order,Bennettitales,order of plants (fossil),https://www.wikidata.org/entity/Q132823,Exact,TRUE,
family,Bennettitaceae,a family of fossil gymnospermous plants of the Carboniferous,https://en-word.net/id/oewn-11624844-n,family,Bennettitaceae,family of plants (fossil),https://www.wikidata.org/entity/Q15050378,Exact,TRUE,
class,Pteridospermopsida,extinct gymnosperms most of Carboniferous to Jurassic: seed ferns and allies,https://en-word.net/id/oewn-11625149-n,class,Pteridospermopsida,,https://www.wikidata.org/entity/Q15617175,Exact,TRUE,
order,Lyginopteridales,fossil gymnospermous trees or climbing plants from the Devonian: seed ferns,https://en-word.net/id/oewn-11625355-n,order,Lyginopteridales,prehistoric plant order,https://www.wikidata.org/entity/Q573940,Exact,TRUE,
genus,Lyginopteris,genus of fossil seed ferns of the Carboniferous,https://en-word.net/id/oewn-11625847-n,genus,Lyginopteris,extinct genus of Late Carboniferous seed ferns,https://www.wikidata.org/entity/Q3840994,Exact,TRUE,
class,Coniferopsida,cone-bearing gymnosperms dating from the Carboniferous period; most are substantial trees; includes the classes Pinopsida (subdivision Pinophytina) and Ginkgopsida (subdivision Ginkgophytina) and Taxopsida (subdivision Taxophytina) which in turn include the surviving orders Coniferales and Taxales (yews) and sometimes Ginkgoales as well as extinct orders such as Cordaitales (of the Carboniferous and Permian),https://en-word.net/id/oewn-11626159-n,class,Coniferopsida,class of plants,https://www.wikidata.org/entity/Q16050271,Exact,TRUE,
order,Cordaitales,extinct plants having tall arborescent trunks comparable to or more advanced than cycads; known from the Pennsylvanian period; probably extinct since the Mesozoic era,https://en-word.net/id/oewn-11626830-n,order,Cordaitales,fossil order of coniferous plants,https://www.wikidata.org/entity/Q422417,Exact,TRUE,
family,Cordaitaceae,chiefly Paleozoic plants; Cordaites is the chief and typical genus,https://en-word.net/id/oewn-11627112-n,family,Cordaitaceae,family of plants (fossil),https://www.wikidata.org/entity/Q5169890,Exact,TRUE,
genus,Cordaites,tall Paleozoic trees superficially resembling modern screw pines; structurally intermediate in some ways between cycads and conifers,https://en-word.net/id/oewn-11627297-n,genus,Cordaites,genus of plants (fossil),https://www.wikidata.org/entity/Q869081,Exact,TRUE,
class,Pinopsida,most conifers: in some systems classified as a class (Pinopsida) and in others as a subdivision (Pinophytina); used in some classifications for one of five subdivisions of Gymnospermophyta,https://en-word.net/id/oewn-11627522-n,class,Pinopsida,class of plants,https://www.wikidata.org/entity/Q1329304,Exact,TRUE,
order,Coniferales,profusely branching and chiefly evergreen trees and some shrubs having narrow or needlelike leaves,https://en-word.net/id/oewn-11627843-n,order,Coniferales,order of plants,https://www.wikidata.org/entity/Q14107023,Exact,TRUE,
family,Pinaceae,a family of Pinaceae,https://en-word.net/id/oewn-11628190-n,family,Pinaceae,family of plants,https://www.wikidata.org/entity/Q101680,Exact,TRUE,
genus,Pinus,type genus of the Pinaceae: large genus of true pines,https://en-word.net/id/oewn-11628506-n,genus,Pinus,genus of plants in the conifer family Pinaceae,https://www.wikidata.org/entity/Q12024,Exact,TRUE,
genus,Larix,larches,https://en-word.net/id/oewn-11639201-n,genus,Larix,genus of plants,https://www.wikidata.org/entity/Q25618,Exact,TRUE,
genus,Pseudolarix,one species: golden larch,https://en-word.net/id/oewn-11640699-n,genus,Pseudolarix,genus of plants,https://www.wikidata.org/entity/Q2664288,Exact,TRUE,
genus,Abies,true firs,https://en-word.net/id/oewn-11641011-n,genus,Abies,genus of plants,https://www.wikidata.org/entity/Q25350,Exact,TRUE,
genus,Cedrus,true cedars,https://en-word.net/id/oewn-11643439-n,genus,Cedrus,genus of plants,https://www.wikidata.org/entity/Q128550,Exact,TRUE,
genus,Picea,a genus of temperate and Arctic evergreen trees (see spruce),https://en-word.net/id/oewn-11644818-n,genus,Picea,"genus of evergreen, coniferous tree",https://www.wikidata.org/entity/Q26782,Exact,TRUE,
genus,Tsuga,hemlock; hemlock fir; hemlock spruce,https://en-word.net/id/oewn-11647479-n,genus,Tsuga,genus of plants,https://www.wikidata.org/entity/Q739430,Exact,TRUE,
